"status","brand","model","type","length","diameter","amazonUrl","evidence","rejectReason"
"accepted","LAMY","PICO BALLPOINT PEN ラミー ピコ ボールペン 油性 筆記用具 文房具 ブランド 高級 コンパクト 携帯 小さい ブラック 黒 ネイビー オレンジ ピンク ホワイト 白 シルバー ギフト プレゼント","ボールペン","123","","https://www.amazon.co.jp/s?k=LAMY%20PICO%20BALLPOINT%20PEN%20%E3%83%A9%E3%83%9F%E3%83%BC%20%E3%83%94%E3%82%B3%20%E3%83%9C%E3%83%BC%E3%83%AB%E3%83%9A%E3%83%B3%20%E6%B2%B9%E6%80%A7%20%E7%AD%86%E8%A8%98%E7%94%A8%E5%85%B7%20%E6%96%87%E6%88%BF%E5%85%B7%20%E3%83%96%E3%83%A9%E3%83%B3%E3%83%89%20%E9%AB%98%E7%B4%9A%20%E3%82%B3%E3%83%B3%E3%83%91%E3%82%AF%E3%83%88%20%E6%90%BA%E5%B8%AF%20%E5%B0%8F%E3%81%95%E3%81%84%20%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF%20%E9%BB%92%20%E3%83%8D%E3%82%A4%E3%83%93%E3%83%BC%20%E3%82%AA%E3%83%AC%E3%83%B3%E3%82%B8%20%E3%83%94%E3%83%B3%E3%82%AF%20%E3%83%9B%E3%83%AF%E3%82%A4%E3%83%88%20%E7%99%BD%20%E3%82%B7%E3%83%AB%E3%83%90%E3%83%BC%20%E3%82%AE%E3%83%95%E3%83%88%20%E3%83%97%E3%83%AC%E3%82%BC%E3%83%B3%E3%83%88","携帯時は全長わずか92mmのコンパクト設計。ところが、たった一度のノックで口金が飛び出し、続いて尻軸が延伸。あっという間に全長123mmのフルサイズボールペンに早変わり。愛らしい外観からは想像もつかないダイナミックな機構により、2002年のデザインプラス最優秀賞にも輝いたモデルです。クリップを持たない代わりに転がり防止の突起が装備されるなど、細かい部分まで気が配られ、極めてユーザーフレンドリーな仕上がりとなっています。",""
"accepted","LAMY","PICO BALLPOINT PEN ラミー ピコ ボールペン 油性 筆記用具 文房具 ブランド 高級 コンパクト 携帯 小さい ブラック 黒 ネイビー オレンジ ピンク ホワイト 白 シルバー ギフト プレゼント","ボールペン","123","","https://www.amazon.co.jp/s?k=LAMY%20PICO%20BALLPOINT%20PEN%20%E3%83%A9%E3%83%9F%E3%83%BC%20%E3%83%94%E3%82%B3%20%E3%83%9C%E3%83%BC%E3%83%AB%E3%83%9A%E3%83%B3%20%E6%B2%B9%E6%80%A7%20%E7%AD%86%E8%A8%98%E7%94%A8%E5%85%B7%20%E6%96%87%E6%88%BF%E5%85%B7%20%E3%83%96%E3%83%A9%E3%83%B3%E3%83%89%20%E9%AB%98%E7%B4%9A%20%E3%82%B3%E3%83%B3%E3%83%91%E3%82%AF%E3%83%88%20%E6%90%BA%E5%B8%AF%20%E5%B0%8F%E3%81%95%E3%81%84%20%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF%20%E9%BB%92%20%E3%83%8D%E3%82%A4%E3%83%93%E3%83%BC%20%E3%82%AA%E3%83%AC%E3%83%B3%E3%82%B8%20%E3%83%94%E3%83%B3%E3%82%AF%20%E3%83%9B%E3%83%AF%E3%82%A4%E3%83%88%20%E7%99%BD%20%E3%82%B7%E3%83%AB%E3%83%90%E3%83%BC%20%E3%82%AE%E3%83%95%E3%83%88%20%E3%83%97%E3%83%AC%E3%82%BC%E3%83%B3%E3%83%88","携帯時は全長わずか92mmのコンパクト設計。ところが、たった一度のノックで口金が飛び出し、続いて尻軸が延伸。あっという間に全長123mmのフルサイズボールペンに早変わり。愛らしい外観からは想像もつかないダイナミックな機構により、2002年のデザインプラス最優秀賞にも輝いたモデルです。クリップを持たない代わりに転がり防止の突起が装備されるなど、細かい部分まで気が配られ、極めてユーザーフレンドリーな仕上がりとなっています。",""
"accepted","LAMY","Pico 油性ボールペン 4カラー l287-l288","ボールペン","92","","https://www.amazon.co.jp/s?k=LAMY%20Pico%20%E6%B2%B9%E6%80%A7%E3%83%9C%E3%83%BC%E3%83%AB%E3%83%9A%E3%83%B3%204%E3%82%AB%E3%83%A9%E3%83%BC%20l287-l288","携帯時は全長わずか92mmのコンパクトな",""
"rejected","","","","139","","https://item.rakuten.co.jp/kayonoko/kayonoko-uniball_onep2","約全長139mm（直径 約10.5mm）・約11g（チャームなど別パーツ除く）","全長が130mmを超える"
"rejected","","uni-ball one P（ユニボールワンP）0.38mm 0.5mm","","","","https://item.rakuten.co.jp/bunborg/30856","","商品ページから全長を確認できない"
"rejected","","ジェットストリーム 名入れ ボールペン ライトタッチ インク 4&1 シマエナガ ボールペン プレゼント 女性 マーク 三菱鉛筆 uni 多機能ペン 記念品 入学祝 卒業祝 卒業式 敬老 敬老の日 母の日 2026","","","","https://item.rakuten.co.jp/nairebugyo/e06-43-106","","ボールペン/万年筆ではない"
"rejected","","","","144.3","","https://item.rakuten.co.jp/bungunomori/sxn-uc-07rop-p","【サイズ】最大径φ 15.0mm　全長 144.3mm","全長が130mmを超える"
"rejected","","","","144.3","","https://item.rakuten.co.jp/bungunomori/sxn-uc-07rop-ti","【サイズ】最大径φ 15.0mm　全長 144.3mm","全長が130mmを超える"
"rejected","","","","144.3","","https://item.rakuten.co.jp/bungunomori/sxn-uc-07rop-me","【サイズ】最大径φ 15.0mm　全長 144.3mm","全長が130mmを超える"
"rejected","","","","142","","https://item.rakuten.co.jp/manshou2023/ljl-14","■サイズ：全長142mm　最大径10.5mm","全長が130mmを超える"
"rejected","","手帳用油性ボールペン バーディ シルバー 細字0.7mm パイロット BS-40S","","","","https://item.rakuten.co.jp/8989usagiya/10013487","","商品ページから全長を確認できない"
"rejected","","ボールペン替芯 フリクション 0.5mm LFBKRF12EF","","","","https://item.rakuten.co.jp/bunsute/lfbkrf12ef","","ボールペン/万年筆ではない"
"rejected","","ZEBRA 手帳用ボールペン 1個(T3) 目安在庫=○","","","","https://item.rakuten.co.jp/compmoto-r/4901681228102","","商品ページから全長を確認できない"
"rejected","","【5/18 00","","","","https://item.rakuten.co.jp/yoemondou/4901681266074-0550","","ボールペン/万年筆ではない"
"rejected","","油性ボールペン 手帳用","","","","https://item.rakuten.co.jp/manshou2023/t-3","","商品ページから全長を確認できない"
"rejected","","加圧式ボールペン エアプレス0.7mm 油性ボールペン （TOMBOW・トンボ鉛筆）","","","","https://item.rakuten.co.jp/atn/bcap","","商品ページから全長を確認できない"
"rejected","","ボールペンエアプレス（BC-AP）","","","","https://item.rakuten.co.jp/stationery-goods/ton0007","","商品ページから全長を確認できない"
"rejected","","","","141","","https://item.rakuten.co.jp/loupe-studio/akh-ltl-0524","ボールペン ペン 0.4 水性 文具 文房具 筆記用具 オフィス 学校 サラサクリップ 1本入T ジェルボールペン おしゃれ おすすめ 商品番号:AKH-0755 色数豊富でさらさらな書き味のジェルインク。手帳や細かい文字書きに!サイズ:軸径11.0×全長141.0mm","全長が130mmを超える"
"rejected","","オート とっても小さなシャーペン TL01-SP5 OHTO 0.5mm ペンホルダー付き 1000円ポッキリ 送料無料 手帳用 ダイヤリー ダイアリー ブラック ネイビー アルミボディ コンパクト 携帯 名刺入れ カードケース 小さい ミニサイズ 持ち運び 便利 文具","","","","https://item.rakuten.co.jp/hanko-otobe/tl01-sp5","","ボールペン/万年筆ではない"
"rejected","","水性ボールペン ボールぺんてる 10本","","","","https://item.rakuten.co.jp/ariel-store/hrworq7dstk6kyy2257ecdldoa","","商品ページから全長を確認できない"
"rejected","","オート ボールペン minimo ミニモ NBP-505MN","","","","https://item.rakuten.co.jp/stationery-goods/oht0152","","商品ページから全長を確認できない"
"rejected","","オート シャーペン minimo SP-505MN","","","","https://item.rakuten.co.jp/stationery-goods/oht0097","","ボールペン/万年筆ではない"
"rejected","","完売★オート ボールペン 油性 ミニモ NBP-505MN-BK ブラック","","","","https://item.rakuten.co.jp/ito-os/4971516011186","","商品ページから全長を確認できない"
"rejected","","オート ボールペン 油性 ミニモ NBP-505MN-GN グリーン","","","","https://item.rakuten.co.jp/ito-os/4971516011216","","商品ページから全長を確認できない"
"rejected","","公式ショップ ボールペン 油性ボールペン 細い 小さいボールペン 手帳用ボールペン 手帳ボールペン 旅行 ポーチ 手帳 財布 名刺入れ IDホルダー 携帯 細字 0.5mm 日本製 Made in Japan","","","","https://item.rakuten.co.jp/ohto-shop/tl01-b5-bk","","商品ページから全長を確認できない"
"rejected","","","","136.8","","https://item.rakuten.co.jp/ohto-shop/nkg-450e-nt","全長136.8mm×軸径7.6mm 重量8.4g","全長が130mmを超える"
"rejected","","フィッシャー スペースペン ボールペン EF400 BULLET ブレット 名入れ クローム ブラック ゴールド 宇宙 NASA 筆記具 油性 文具 ネーム ステーショナリー メンズ レディース ギフト プレゼント 父の日 記念 アメリカ 男性 女性 FISHER SPACEPEN","","","","https://item.rakuten.co.jp/pellepenna/1010015","","商品ページから全長を確認できない"
